id,comunas,Delitos 2017,Dinero invertido 2017,IDSE 2017,Poblacion 2017,Delitos 2020,Dinero invertido 2020,IDSE 2020,Poblacion 2020
1,Cerrillos,5.44,02.08,68.25,14.94,10.26,0.61,55.80,16.9
2,Cerro Navia,04.05,2.78,56.65,23.34,13.91,0.25,42.65,27.35
3,Conchalí,05.03,1.33,66.73,22.35,10.03,8.86,53.25,25.86
4,El Bosque,5.19,1.18,61.59,28.60,18.53,19.18,51.79,34.73
5,Estacion Central,12.25,1.00,69.15,25.88,23.10,4.48,60.51,25.47
6,Huechuraba,04.03,21.58,66.03,17.37,10.91,3.40,64.30,18.72
7,Independencia,5.66,2.37,73.69,17.65,39.99,1.69,61.71,15.77
8,La Cisterna,6.31,0.98,72.98,15.86,10.88,3.85,62.87,17.27
9,La Florida,17.10,1.98,74.60,64.59,49.71,1.19,67.25,77.69
10,La Granja,4.24,0.09,59.68,20.52,16.03,2.67,48.72,28.29
11,La Pintana,5.47,0.33,56.55,31.22,15.56,2.61,41.16,40.58
12,La Reina,4.48,6.42,83.77,16.33,11.49,3.14,69.37,20.53
13,Las Condes,11.67,100.00,97.78,51.90,28.20,100.00,99.95,53.35
14,Lo Barnechea,2.32,61.28,81.55,18.63,20.71,12.48,77.35,15.96
15,Lo Espejo,3.72,0.28,60.69,17.39,50.59,1.45,44.66,24.08
16,Lo Prado,4.29,0.15,65.32,16.94,10.63,0.24,47.80,22.27
17,Macul,5.33,2.65,68.85,20.51,14.70,1.68,62.22,24.08
18,Maipú,16.99,1.60,74.70,9.18,12.91,2.53,68.18,22.27
19,Ñuñoa,11.22,1.36,89.92,36.65,14.11,1.31,75.40,34.91
20,Pedro Aguirre Cerda,3.76,0.44,66.23,17.81,8.84,3.10,53.51,24.46
21,Peñalolén,7.68,31.63,67.34,42.53,8.36,1.50,60.52,46.13
22,Providencia,17.31,40.00,97.58,25.01,8.52,34.05,100.00,25.81
23,Pudahuel,9.17,1.37,67.24,40.54,7.58,2.43,63.03,41.77
24,Puente Alto,19.86,9.90,68.15,100.00,18.39,9.84,61.53,100.0
25,Quilicura,7.50,1.43,69.86,37.04,12.76,7.39,65.86,22.21
26,Quinta Normal,7.15,0.65,68.25,0.82,26.56,03.01,61.43,31.64
27,Recoleta,11.20,0.65,63.71,1.29,40.69,8.16,54.61,28.51
28,Renca,5.24,0.99,60.08,0.60,7.48,1.45,53.85,16.84
29,San Joaquín,4.19,1.80,64.11,0.48,7.16,0.61,69.45,20.84
30,San Miguel,09.05,0.10,78.93,01.04,19.08,3.36,50.16,20.26
31,San Ramón,3.11,1.13,57.96,0.36,13.48,0.50,88.83,17.4
32,Santiago,100.00,66.67,83.97,11.49,100.00,9.94,80.65,18.52
33,Vitacura,04.09,0.75,100.00,0.47,21.50,13.65,87.27,13.26
