TIME,TEMP,HUM,BATT,SDCARD,RSSI,LIGHT,NOISE_A,MPL_PRESS,AS7331_UVA,AS7331_UVB,AS7331_UVA
ISO 8601,C,%,%,Present,dBm,lux,dBA,kPa,uW/cm2,uW/cm2,uW/cm2
Time,Temperature,Humidity,Battery,SD card,WiFi RSSI,Light,Noise dBA,MPL Barometric pressure,AS7331 UVA,AS7331 UVB,AS7331 UVC
,55,56,10,221,220,14,53,58,214,215,216
2025-01-22T00:00:20Z,9.45,95.14,90,1,null,0,35.46,101.10,0.00,0.00,0.00
2025-01-22T00:01:20Z,9.41,95.06,90,1,-88,0,34.93,101.11,0.00,0.00,0.00
2025-01-22T00:02:20Z,9.35,96.27,90,1,null,0,38.19,101.11,0.00,0.00,0.00
2025-01-22T00:03:23Z,9.41,96.71,89,1,null,0,36.98,101.11,0.00,0.00,0.00
2025-01-22T00:04:23Z,9.32,97.20,90,1,-87,0,35.87,101.11,0.00,0.00,0.00
2025-01-22T00:05:23Z,9.26,98.08,90,1,null,0,30.04,101.12,0.00,0.00,0.00
2025-01-22T00:06:23Z,9.26,98.57,90,1,null,0,40.04,101.11,0.00,0.00,0.00
2025-01-22T00:07:23Z,9.31,98.40,90,1,-90,0,34.97,101.10,0.00,0.00,0.00
2025-01-22T00:08:23Z,9.41,97.50,90,1,null,0,38.21,101.10,0.00,0.00,0.00
2025-01-22T00:09:23Z,9.41,96.46,90,1,null,0,34.15,101.11,0.00,0.00,0.00
2025-01-22T00:10:23Z,9.27,96.70,90,1,-88,0,43.86,101.12,0.00,0.00,0.00
2025-01-22T00:11:23Z,9.18,98.60,90,1,null,0,27.04,101.12,0.00,0.00,0.00
2025-01-22T00:12:23Z,9.14,98.31,90,1,null,0,31.64,101.13,0.00,0.00,0.00
2025-01-22T00:13:23Z,9.14,97.94,90,1,-88,0,41.36,101.12,0.00,0.00,0.00
2025-01-22T00:14:23Z,9.20,97.88,90,1,null,0,33.47,101.11,0.00,0.00,0.00
2025-01-22T00:15:23Z,9.37,98.63,90,1,null,0,34.31,101.10,0.00,0.00,0.00
2025-01-22T00:16:23Z,9.34,97.60,90,1,-87,0,40.45,101.10,0.00,0.00,0.00
2025-01-22T00:17:23Z,9.32,98.25,90,1,null,0,39.28,101.11,0.00,0.00,0.00
2025-01-22T00:18:23Z,9.32,98.18,90,1,null,0,44.46,101.10,0.00,0.00,0.00
2025-01-22T00:19:30Z,9.47,97.99,89,1,-86,0,41.54,101.09,0.00,0.00,0.00
2025-01-22T00:20:30Z,9.55,98.44,90,1,null,0,42.23,101.09,0.00,0.00,0.00
2025-01-22T00:21:30Z,9.65,98.32,90,1,null,0,38.20,101.08,0.00,0.00,0.00
2025-01-22T00:22:30Z,9.58,98.20,90,1,-86,0,37.11,101.09,0.00,0.00,0.00
2025-01-22T00:23:30Z,9.49,97.73,90,1,null,0,35.41,101.10,0.00,0.00,0.00
2025-01-22T00:24:30Z,9.42,98.02,90,1,null,0,30.40,101.10,0.00,0.00,0.00
2025-01-22T00:25:30Z,9.44,97.99,90,1,-90,0,43.36,101.10,0.00,0.00,0.00
2025-01-22T00:26:30Z,9.42,98.72,90,1,null,0,34.30,101.09,0.00,0.00,0.00
2025-01-22T00:27:30Z,9.51,99.12,90,1,null,0,41.65,101.09,0.00,0.00,0.00
2025-01-22T00:28:30Z,9.58,98.05,90,1,-89,0,35.08,101.08,0.00,0.00,0.00
2025-01-22T00:29:30Z,9.63,98.13,90,1,null,0,32.67,101.09,0.00,0.00,0.00
2025-01-22T00:30:30Z,9.41,96.66,89,1,null,0,39.23,101.09,0.00,0.00,0.00
2025-01-22T00:31:30Z,9.32,97.57,90,1,-90,0,32.52,101.09,0.00,0.00,0.00
2025-01-22T00:32:30Z,9.38,98.49,89,1,null,0,40.17,101.10,0.00,0.00,0.00
2025-01-22T00:33:30Z,9.41,97.61,90,1,null,0,31.87,101.10,0.00,0.00,0.00
2025-01-22T00:34:30Z,9.32,97.94,90,1,-90,0,35.23,101.10,0.00,0.00,0.00
2025-01-22T00:35:33Z,9.26,97.19,89,1,null,0,40.60,101.10,0.00,0.00,0.00
2025-01-22T00:36:33Z,9.37,97.45,90,1,null,0,36.98,101.10,0.00,0.00,0.00
2025-01-22T00:37:33Z,9.27,97.29,90,1,-85,0,36.26,101.09,0.00,0.00,0.00
2025-01-22T00:38:33Z,9.21,97.27,90,1,null,0,36.16,101.11,0.00,0.00,0.00
2025-01-22T00:39:33Z,9.15,96.30,90,1,null,0,35.45,101.10,0.00,0.00,0.00
2025-01-22T00:40:33Z,9.13,96.34,89,1,-87,0,41.74,101.11,0.00,0.00,0.00
2025-01-22T00:41:33Z,9.14,98.44,90,1,null,0,33.27,101.10,0.00,0.00,0.00
2025-01-22T00:42:33Z,9.32,98.69,89,1,null,0,36.14,101.09,0.00,0.00,0.00
2025-01-22T00:43:33Z,9.39,98.72,89,1,-85,0,37.97,101.09,0.00,0.00,0.00
2025-01-22T00:44:33Z,9.32,98.28,89,1,null,0,38.91,101.08,0.00,0.00,0.00
2025-01-22T00:45:33Z,9.47,97.17,89,1,null,0,34.92,101.07,0.00,0.00,0.00
2025-01-22T00:46:33Z,9.35,96.32,89,1,-84,0,36.74,101.08,0.00,0.00,0.00
2025-01-22T00:47:33Z,9.37,97.00,89,1,null,0,36.77,101.08,0.00,0.00,0.00
2025-01-22T00:48:33Z,9.31,97.54,89,1,null,0,32.56,101.08,0.00,0.00,0.00
2025-01-22T00:49:33Z,9.27,98.06,89,1,-85,0,37.01,101.09,0.00,0.00,0.00
2025-01-22T00:50:33Z,9.31,97.99,89,1,null,0,38.42,101.08,0.00,0.00,0.00
2025-01-22T00:51:40Z,9.42,97.51,89,1,null,0,37.50,101.08,0.00,0.00,0.00
2025-01-22T00:52:40Z,9.49,97.95,89,1,-86,0,46.56,101.08,0.00,0.00,0.00
2025-01-22T00:53:40Z,9.63,97.71,89,1,null,0,33.50,101.08,0.00,0.00,0.00
2025-01-22T00:54:40Z,9.73,97.90,89,1,null,0,39.76,101.07,0.00,0.00,0.00
2025-01-22T00:55:40Z,9.66,97.40,89,1,-87,0,38.13,101.08,0.00,0.00,0.00
2025-01-22T00:56:40Z,9.63,96.63,89,1,null,0,40.59,101.08,0.00,0.00,0.00
2025-01-22T00:57:40Z,9.41,96.24,89,1,null,0,43.44,101.08,0.00,0.00,0.00
2025-01-22T00:58:40Z,9.30,96.74,89,1,-86,0,39.10,101.08,0.00,0.00,0.00
2025-01-22T00:59:40Z,9.39,96.66,89,1,null,0,37.13,101.08,0.00,0.00,0.00
2025-01-22T01:00:40Z,9.39,96.28,90,1,null,0,28.09,101.08,0.00,0.00,0.00
2025-01-22T01:01:40Z,9.49,96.39,89,1,-86,0,42.37,101.07,0.00,0.00,0.00
2025-01-22T01:02:40Z,9.59,96.34,89,1,null,0,30.98,101.07,0.00,0.00,0.00
2025-01-22T01:03:40Z,9.60,96.21,89,1,null,0,36.44,101.06,0.00,0.00,0.00
2025-01-22T01:04:40Z,9.60,96.74,89,1,-87,0,36.45,101.06,0.00,0.00,0.00
2025-01-22T01:05:40Z,9.66,96.28,89,1,null,0,37.05,101.07,0.00,0.00,0.00
2025-01-22T01:06:40Z,9.70,95.52,89,1,null,0,42.47,101.06,0.00,0.00,0.00
2025-01-22T01:07:45Z,9.65,95.56,89,1,-84,0,30.67,101.06,0.00,0.00,0.00
2025-01-22T01:08:45Z,9.67,95.81,89,1,null,0,36.56,101.06,0.00,0.00,0.00
2025-01-22T01:09:45Z,9.70,96.22,89,1,null,0,35.79,101.06,0.00,0.00,0.00
2025-01-22T01:10:45Z,9.63,96.03,89,1,-84,0,44.87,101.05,0.00,0.00,0.00
